rang_moyen;critere;importance_centre;importance_droite;importance_gauche;importance_moyenne
1;[taux_chomage]Taux_moyen;0.147368;0.117381;0.209417;0.158055
2;[etablissement_culturel]nombre_etablissements;0.001447;0.022982;0.397767;0.140732
3;[Laboratoires]DENSITE /100 000 hab.;0.007661;0.165073;0.078763;0.083832
4;[categorie_professionnelle] Employés qualifiés;0.151854;0.05927;0.003777;0.071634
5;[pouvoir_achat]Pouvoir d'achat du RDB;0.064656;0.062785;0.004344;0.043928
6;[niveau_etude]CAP, BEP ou équivalent;0.113273;2e-05;0.004686;0.039326
7;[categorie_professionnelle] Agriculteurs;0.108711;2e-05;0.003349;0.03736
8;[Sages-femmes]DENSITE /100 000 hab.;0.01324;0.014572;0.063548;0.030453
9;[Auxiliaires médicaux]DENSITE /100 000 hab.;0.005145;0.040296;0.042946;0.029462
10;[niveau_etude]Aucun diplôme, CEP;0.079678;0.000107;0.004146;0.027977
11;[categorie_professionnelle] Ouvriers qualifiés;0.079361;4.2e-05;0.002308;0.027237
12;[categorie_professionnelle] Ouvriers peu qualifiés;0.074339;3.1e-05;0.001995;0.025455
13;[equipement_sportif]nb_equipements;0.002901;0.034974;0.034058;0.023978
14;[niveau_etude]Diplôme de niveau bac+5 ou plus;2.3e-05;0.065509;0.000874;0.022135
15;[niveau_etude]Brevet des collèges;4e-06;0.062329;0.0025;0.021611
16;[categorie_professionnelle] Employés;0.056404;1e-05;0.001064;0.019159
17;[niveau_etude]Baccalauréat ou équivalent;2e-06;0.054912;0.001726;0.01888
18;[delinquance]taux_pour_mille;0.009909;0.03659;0.007271;0.017923
19;[pouvoir_achat]Revenu disponible brut (RDB);2.9e-05;0.051181;0.001917;0.017709
20;[categorie_professionnelle] Employés peu qualifiés;9e-06;0.049551;0.001388;0.016983
21;[Généralistes et MEP]DENSITE /100 000 hab.;0.003421;0.018963;0.015023;0.012469
22;[Sages-femmes]EFFECTIF;0.001993;0.023177;0.003953;0.009708
23;[Dentistes et ODF]DENSITE /100 000 hab.;0.003193;0.008372;0.014389;0.008651
24;[compte_publique]euros_par_habitant;0.004499;0.012276;0.005743;0.007506
25;[niveau_etude]Diplôme de niveau bac+3 ou bac+4;0.020763;6.4e-05;0.000244;0.007024
26;[age_moyen]0 à 4 ans;0.000561;0.008865;0.009083;0.00617
27;[compte_publique]depenses;0.004776;0.006135;0.00379;0.0049
28;[age_moyen]20 à 24 ans;0.000417;0.003188;0.010394;0.004666
29;[age_moyen]25 à 29 ans;0.000386;0.009377;0.003904;0.004556
30;[age_moyen]5 à 9 ans;0.000357;0.007431;0.005139;0.004309
31;[Spécialistes]DENSITE /100 000 hab.;0.002242;0.005655;0.004953;0.004283
32;[Auxiliaires médicaux]EFFECTIF;0.002153;0.00695;0.00354;0.004214
33;[age_moyen]30 à 34 ans;0.000402;0.006501;0.004599;0.003834
34;[Spécialistes]EFFECTIF;0.000556;0.005043;0.005539;0.003713
35;[compte_publique]population;0.002157;0.005317;0.003237;0.00357
36;[categorie_professionnelle] Cadres et professions supérieures;0.007498;2.4e-05;0.00206;0.003194
37;[age_moyen]80 ans et plus;0.001648;0.003952;0.002678;0.002759
38;[Laboratoires]EFFECTIF;0.000958;0.00266;0.004258;0.002625
39;[age_moyen]10 à 14 ans;0.000324;0.005152;0.002364;0.002613
40;[categorie_professionnelle] Professions intermédiaires;0.005211;2.1e-05;0.001815;0.002349
41;[categorie_professionnelle] Autres;0.005154;6e-06;0.001448;0.002203
42;[age_moyen]75 à 79 ans;0.001235;0.002127;0.002479;0.001947
43;[age_moyen]15 à 19 ans;0.000463;0.004124;0.001248;0.001945
44;[niveau_etude]Diplôme de niveau bac+2;0.005126;7.1e-05;0.000559;0.001919
45;[Généralistes et MEP]EFFECTIF;0.000565;0.002364;0.002407;0.001779
46;[age_moyen]70 à 74 ans;0.002235;0.001697;0.001262;0.001731
47;[delinquance]nombre;0.000862;0.001857;0.002027;0.001582
48;[categorie_professionnelle] Artisans, commerçants et patron;7.6e-05;4.7e-05;0.004147;0.001423
49;[age_moyen]35 à 39 ans;0.000373;0.002414;0.001466;0.001418
50;[Dentistes et ODF]EFFECTIF;0.000754;0.001642;0.001769;0.001388
51;[age_moyen]60 à 64 ans;0.001483;0.001306;0.000892;0.001227
52;[age_moyen]65 à 69 ans;0.000803;0.001214;0.001252;0.00109
53;[age_moyen]40 à 44 ans;0.000339;0.000944;0.001977;0.001087
54;[age_moyen]45 à 49 ans;0.000243;0.001515;0.000873;0.000877
55;[age_moyen]50 à 54 ans;0.000353;0.001112;0.000893;0.000786
56;[age_moyen]55 à 59 ans;0.000405;0.000804;0.000754;0.000654
