departement;score_centre_t1;score_droite_t1;score_gauche_t1;vainqueur_t1;annee_cible;score_centre_t2;score_droite_t2;vainqueur_t2
01;12.62;54.36;33.02;droite;2024;-0.06;100.06;droite
02;7.76;55.27;36.97;droite;2024;-0.3;100.3;droite
03;11.25;49.07;39.67;droite;2024;-0.01;100.01;droite
04;11.0;49.54;39.46;droite;2024;0.08;99.92;droite
05;13.16;48.26;38.58;droite;2024;0.2;99.8;droite
06;8.31;70.79;20.9;droite;2024;0.01;99.99;droite
07;11.34;49.3;39.36;droite;2024;0.0;100.0;droite
08;8.49;52.17;39.34;droite;2024;-0.06;100.06;droite
09;9.66;45.46;44.88;droite;2024;-0.03;100.03;droite
10;9.81;54.22;35.97;droite;2024;-0.03;100.03;droite
11;7.69;51.42;40.89;droite;2024;-0.22;100.22;droite
12;13.38;45.71;40.9;droite;2024;0.39;99.61;droite
13;7.83;61.3;30.87;droite;2024;0.09;99.91;droite
14;11.88;50.61;37.52;droite;2024;0.01;99.99;droite
15;12.86;48.69;38.45;droite;2024;0.26;99.74;droite
16;10.63;50.69;38.68;droite;2024;-0.05;100.05;droite
17;11.03;50.99;37.98;droite;2024;0.2;99.8;droite
18;10.92;52.16;36.92;droite;2024;-0.02;100.02;droite
19;10.43;47.42;42.16;droite;2024;0.06;99.94;droite
21;12.33;51.48;36.19;droite;2024;0.1;99.9;droite
22;11.89;47.56;40.55;droite;2024;0.02;99.98;droite
23;10.34;46.08;43.57;droite;2024;0.03;99.97;droite
24;10.54;48.27;41.19;droite;2024;0.08;99.92;droite
25;11.53;52.28;36.19;droite;2024;0.11;99.89;droite
26;11.13;52.38;36.49;droite;2024;-0.01;100.01;droite
27;10.64;53.61;35.76;droite;2024;-0.13;100.13;droite
28;11.01;52.66;36.33;droite;2024;0.02;99.98;droite
29;13.41;47.35;39.24;droite;2024;0.21;99.79;droite
2A;10.74;59.86;29.4;droite;2024;-0.24;100.24;droite
2B;8.5;62.07;29.42;droite;2024;-0.07;100.07;droite
30;8.45;55.64;35.91;droite;2024;-0.1;100.1;droite
31;10.81;48.23;40.96;droite;2024;0.05;99.95;droite
32;12.59;45.23;42.18;droite;2024;0.02;99.98;droite
33;10.26;50.66;39.08;droite;2024;0.04;99.96;droite
34;7.92;53.54;38.54;droite;2024;-0.18;100.18;droite
35;12.98;48.29;38.73;droite;2024;0.1;99.9;droite
36;10.46;51.63;37.91;droite;2024;-0.06;100.06;droite
37;11.97;51.02;37.01;droite;2024;0.14;99.86;droite
38;11.67;49.91;38.42;droite;2024;-0.06;100.06;droite
39;12.79;50.76;36.45;droite;2024;0.04;99.96;droite
40;11.65;47.06;41.29;droite;2024;0.06;99.94;droite
41;11.71;52.19;36.1;droite;2024;0.0;100.0;droite
42;11.24;52.22;36.54;droite;2024;-0.04;100.04;droite
43;13.61;48.22;38.16;droite;2024;-0.03;100.03;droite
44;11.98;49.38;38.64;droite;2024;-0.01;100.01;droite
45;10.8;53.98;35.22;droite;2024;0.02;99.98;droite
46;11.75;44.25;44.0;droite;2024;0.08;99.92;droite
47;10.72;51.19;38.1;droite;2024;-0.03;100.03;droite
48;14.21;47.74;38.05;droite;2024;0.13;99.87;droite
49;13.95;50.72;35.33;droite;2024;0.12;99.88;droite
50;13.17;49.4;37.43;droite;2024;0.13;99.87;droite
51;11.17;53.16;35.67;droite;2024;0.06;99.94;droite
52;10.4;53.98;35.62;droite;2024;-0.03;100.03;droite
53;14.94;50.02;35.03;droite;2024;0.07;99.93;droite
54;11.76;51.07;37.17;droite;2024;0.03;99.97;droite
55;10.85;52.5;36.65;droite;2024;-0.02;100.02;droite
56;12.8;49.9;37.3;droite;2024;0.21;99.79;droite
57;11.08;55.37;33.54;droite;2024;0.1;99.9;droite
58;10.34;50.02;39.65;droite;2024;-0.01;100.01;droite
59;8.59;52.85;38.57;droite;2024;-0.03;100.03;droite
60;10.24;54.75;35.02;droite;2024;-0.02;100.02;droite
61;11.59;53.02;35.39;droite;2024;-0.06;100.06;droite
62;8.79;51.98;39.23;droite;2024;-0.18;100.18;droite
63;12.84;46.49;40.67;droite;2024;0.36;99.64;droite
64;18.16;45.2;36.64;droite;2024;0.1;99.9;droite
65;12.64;45.15;42.21;droite;2024;-0.01;100.01;droite
66;7.78;54.02;38.2;droite;2024;-0.21;100.21;droite
67;13.46;62.8;23.74;droite;2024;-0.03;100.03;droite
68;12.22;60.94;26.84;droite;2024;0.02;99.98;droite
69;11.28;52.08;36.64;droite;2024;0.11;99.89;droite
70;11.1;52.75;36.15;droite;2024;-0.02;100.02;droite
71;11.41;52.12;36.46;droite;2024;0.06;99.94;droite
72;11.05;51.97;36.98;droite;2024;0.04;99.96;droite
73;13.18;51.06;35.77;droite;2024;0.1;99.9;droite
74;13.08;54.84;32.07;droite;2024;-0.02;100.02;droite
75;9.57;50.09;40.34;droite;2024;0.32;99.68;droite
76;10.42;52.21;37.38;droite;2024;0.08;99.92;droite
77;10.72;52.83;36.45;droite;2024;-0.04;100.04;droite
78;11.96;53.76;34.29;droite;2024;0.45;99.55;droite
79;12.3;48.35;39.34;droite;2024;-0.06;100.06;droite
80;10.16;51.69;38.15;droite;2024;0.1;99.9;droite
81;11.06;48.08;40.86;droite;2024;0.05;99.95;droite
82;10.68;50.48;38.84;droite;2024;0.07;99.93;droite
83;8.18;70.81;21.02;droite;2024;0.03;99.97;droite
84;7.83;65.14;27.03;droite;2024;-0.02;100.02;droite
85;13.41;52.69;33.9;droite;2024;0.29;99.71;droite
86;11.63;48.89;39.48;droite;2024;0.01;99.99;droite
87;10.72;47.1;42.17;droite;2024;0.15;99.85;droite
88;11.12;52.0;36.88;droite;2024;-0.05;100.05;droite
89;10.49;53.71;35.8;droite;2024;-0.02;100.02;droite
90;15.44;50.59;33.98;droite;2024;0.05;99.95;droite
91;11.91;51.25;36.84;droite;2024;0.18;99.82;droite
92;11.04;53.84;35.12;droite;2024;0.39;99.61;droite
93;7.85;43.52;48.63;gauche;2024;0.2;99.8;droite
94;10.97;50.54;38.5;droite;2024;0.2;99.8;droite
95;10.95;51.21;37.84;droite;2024;0.2;99.8;droite
971;2.93;39.28;57.79;gauche;2024;-0.32;100.32;droite
972;3.83;40.61;55.56;gauche;2024;-0.28;100.28;droite
973;6.6;38.08;55.32;gauche;2024;-0.24;100.24;droite
974;6.11;32.54;61.35;gauche;2024;-0.09;100.09;droite
