Code_departement,annee,[age_moyen]0 à 4 ans,[age_moyen]5 à 9 ans,[age_moyen]10 à 14 ans,[age_moyen]15 à 19 ans,[age_moyen]20 à 24 ans,[age_moyen]25 à 29 ans,[age_moyen]30 à 34 ans,[age_moyen]35 à 39 ans,[age_moyen]40 à 44 ans,[age_moyen]45 à 49 ans,[age_moyen]50 à 54 ans,[age_moyen]55 à 59 ans,[age_moyen]60 à 64 ans,[age_moyen]65 à 69 ans,[age_moyen]70 à 74 ans,[age_moyen]75 à 79 ans,[age_moyen]80 ans et plus,[delinquance]nombre,[delinquance]taux_pour_mille,[taux_chomage]Taux_moyen,[equipement_sportif]nb_equipements,[etablissement_culturel]nombre_etablissements,"[niveau_etude]Aucun diplôme, CEP",[niveau_etude]Brevet des collèges,"[niveau_etude]CAP, BEP ou équivalent",[niveau_etude]Baccalauréat ou équivalent,[niveau_etude]Diplôme de niveau bac+2,[niveau_etude]Diplôme de niveau bac+3 ou bac+4,[niveau_etude]Diplôme de niveau bac+5 ou plus,[categorie_professionnelle] Agriculteurs,"[categorie_professionnelle] Artisans, commerçants et patron",[categorie_professionnelle] Autres,[categorie_professionnelle] Cadres et professions supérieures,[categorie_professionnelle] Employés,[categorie_professionnelle] Employés peu qualifiés,[categorie_professionnelle] Employés qualifiés,[categorie_professionnelle] Ouvriers peu qualifiés,[categorie_professionnelle] Ouvriers qualifiés,[categorie_professionnelle] Professions intermédiaires,[pouvoir_achat]Pouvoir d'achat du RDB,[pouvoir_achat]Revenu disponible brut (RDB),[compte_publique]depenses,[compte_publique]population,[compte_publique]euros_par_habitant,[Spécialistes]EFFECTIF,[Spécialistes]DENSITE /100 000 hab.,[Généralistes et MEP]EFFECTIF,[Généralistes et MEP]DENSITE /100 000 hab.,[Auxiliaires médicaux]EFFECTIF,[Auxiliaires médicaux]DENSITE /100 000 hab.,[Sages-femmes]EFFECTIF,[Sages-femmes]DENSITE /100 000 hab.,[Dentistes et ODF]EFFECTIF,[Dentistes et ODF]DENSITE /100 000 hab.,[Laboratoires]EFFECTIF,[Laboratoires]DENSITE /100 000 hab.
10,2017,17251,20044,19561,18737,16530,17324,17912,18133,19215,20371,20412,19908,19815,20187,13801,10466,20353,12981,2.5341722722222224,11.95,1234.0,206,29.450145481454005,0.0,24.627770351252394,16.843585584070293,0.0,0.0,29.0784985832233,534.1,1664.6,97.6,5210.2,842.8,3502.1,4054.7,2354.1,4054.2000000000003,7081.3,0.45884478250000005,0.6993527175,2715747728.2,171325116.0,15.85142792607244,830,266.3671537428457,449,144.09500244643098,1306,419.1271117929596,24,7.702182758829274,284.0,91.14249597947973,26,8.344031322065046
11,2017,17825,21127,21509,20357,15178,16774,18658,20913,22357,25111,25688,24851,26668,27834,21192,14839,29379,17503,2.771905416666667,12.65,2592.0,338,29.450145481454005,0.0,24.627770351252394,16.843585584070293,0.0,0.0,29.0784985832233,534.1,1664.6,97.6,5210.2,842.8,3502.1,4054.7,2354.1,4054.2000000000003,7081.3,0.45884478250000005,0.6993527175,4960386889.16,247917965.0,20.008178468067047,1246,336.5748451257651,741,200.16208686853284,2866,774.176168644015,39,10.5348466772912,434.0,117.2339348190867,32,8.643976760854319
12,2017,12721,14844,15648,14341,10879,12043,13805,15282,16669,18644,19787,19935,20128,21083,14820,12537,26040,6907,1.4351919666666666,6.925,2609.0,293,29.450145481454005,0.0,24.627770351252394,16.843585584070293,0.0,0.0,29.0784985832233,534.1,1664.6,97.6,5210.2,842.8,3502.1,4054.7,2354.1,4054.2000000000003,7081.3,0.45884478250000005,0.6993527175,3309345417.32,142341391.0,23.249354204498395,688,244.75277208348547,497,176.8054182056574,2042,726.4319194687171,28,9.960868631304642,300.0,106.72359247826402,28,9.960868631304642
13,2017,119901,122124,119152,122587,119476,119164,124338,126749,128309,135903,136507,127518,119742,117395,91513,69345,124439,145987,4.325916861111111,11.3,5423.0,2788,29.450145481454005,0.0,24.627770351252394,16.843585584070293,0.0,0.0,29.0784985832233,534.1,1664.6,97.6,5210.2,842.8,3502.1,4054.7,2354.1,4054.2000000000003,7081.3,0.45884478250000005,0.6993527175,22240106251.59,1261994500.0,17.622981915998842,12340,603.7477743125036,4751,232.44778571788527,19842,970.7911943199915,200,9.785215142828259,3038.0,148.63741801956124,496,24.267333554214083
14,2017,35751,42043,42879,45073,42275,37498,38909,40841,42785,45137,45205,45248,46543,45592,30031,23317,44875,25248,2.0942197555555553,8.700000000000001,3230.0,712,29.450145481454005,0.0,24.627770351252394,16.843585584070293,0.0,0.0,29.0784985832233,534.1,1664.6,97.6,5210.2,842.8,3502.1,4054.7,2354.1,4054.2000000000003,7081.3,0.45884478250000005,0.6993527175,6140760600.5,425752607.0,14.423307102615112,2562,368.20927818592384,1345,193.30268507418717,2964,425.984504505495,56,8.048290233572105,550.0,79.04570765115461,56,8.048290233572105
15,2017,5918,6945,7830,7051,5338,5989,7024,7619,8805,9753,10686,11047,11419,11442,8052,6640,13585,3315,1.294653638888889,5.65,1622.0,111,29.450145481454005,0.0,24.627770351252394,16.843585584070293,0.0,0.0,29.0784985832233,534.1,1664.6,97.6,5210.2,842.8,3502.1,4054.7,2354.1,4054.2000000000003,7081.3,0.45884478250000005,0.6993527175,1778828441.92,75133200.0,23.675664578641666,427,296.11652307185136,282,195.5617318647824,840,582.5243076823305,6,4.160887912016646,140.0,97.08738461372175,12,8.321775824033292
16,2017,16566,19208,19493,19061,15744,17085,18281,19219,21428,23795,24989,25146,26212,25277,17878,14068,28885,13332,2.228275522222222,8.925,1571.0,360,29.450145481454005,0.0,24.627770351252394,16.843585584070293,0.0,0.0,29.0784985832233,534.1,1664.6,97.6,5210.2,842.8,3502.1,4054.7,2354.1,4054.2000000000003,7081.3,0.45884478250000005,0.6993527175,3884973523.62,232176171.0,16.73286929871886,1070,303.9772914283601,599,170.17046501456792,1330,377.84093233618586,23,6.534091311076899,312.0,88.63636908939097,28,7.954545943919703
17,2017,28808,33858,36018,35359,27703,28033,32109,34984,38914,42801,42513,43643,48590,52390,37823,27671,53086,28005,2.525216055555555,9.475,3802.0,721,29.450145481454005,0.0,24.627770351252394,16.843585584070293,0.0,0.0,29.0784985832233,534.1,1664.6,97.6,5210.2,842.8,3502.1,4054.7,2354.1,4054.2000000000003,7081.3,0.45884478250000005,0.6993527175,6514192950.21,462512430.0,14.084362987195826,2254,347.73220281843356,1449,223.5421303832787,3754,579.1422756789706,46,7.096575567723134,716.0,110.45974144542964,58,8.94785615060743
18,2017,14780,16970,16906,16282,12989,14675,15802,16044,17943,20782,21572,21592,21869,22969,16034,12543,24504,11693,2.2636286555555554,9.725000000000001,1888.0,211,29.450145481454005,0.0,24.627770351252394,16.843585584070293,0.0,0.0,29.0784985832233,534.1,1664.6,97.6,5210.2,842.8,3502.1,4054.7,2354.1,4054.2000000000003,7081.3,0.45884478250000005,0.6993527175,3165760694.06,151011660.0,20.96368382454706,815,267.3884678936638,461,151.2467284650049,1144,375.32810708018576,13,4.265092125911202,266.0,87.27034657633689,22,7.217848213080495
19,2017,10478,12451,13218,12400,10649,10967,11755,12983,14740,15939,16531,17151,18128,18344,13049,10349,22332,7261,1.736732788888889,7.449999999999999,2173.0,246,29.450145481454005,0.0,24.627770351252394,16.843585584070293,0.0,0.0,29.0784985832233,534.1,1664.6,97.6,5210.2,842.8,3502.1,4054.7,2354.1,4054.2000000000003,7081.3,0.45884478250000005,0.6993527175,2396435365.13,133830624.0,17.906479798898644,770,318.3133722081137,502,207.52378292009493,1590,657.2964439102609,19,7.854485807732677,250.0,103.3484974701668,30,12.401819696420016
