annee,code_departement,[president_sortant]tour,[president_sortant]famille_politique,[president_sortant]pourcentage
2002,01,t1,centre,11.1
2002,01,t1,droite,64.17
2002,01,t1,gauche,24.74
2002,01,t2,droite,100.0
2002,02,t1,centre,6.84
2002,02,t1,droite,57.74
2002,02,t1,gauche,35.42
2002,02,t2,droite,100.0
2002,03,t1,centre,8.84
2002,03,t1,droite,52.45
2002,03,t1,gauche,38.71
2002,03,t2,droite,100.0
2002,04,t1,centre,11.64
2002,04,t1,droite,54.44
2002,04,t1,gauche,33.91
2002,04,t2,droite,100.0
2002,05,t1,centre,12.9
2002,05,t1,droite,53.53
2002,05,t1,gauche,33.57
2002,05,t2,droite,100.0
2002,06,t1,centre,7.63
2002,06,t1,droite,72.79
2002,06,t1,gauche,19.58
2002,06,t2,droite,100.0
2002,07,t1,centre,10.93
2002,07,t1,droite,55.61
2002,07,t1,gauche,33.45
2002,07,t2,droite,100.0
2002,08,t1,centre,7.37
2002,08,t1,droite,56.92
2002,08,t1,gauche,35.72
2002,08,t2,droite,100.0
2002,09,t1,centre,6.59
2002,09,t1,droite,45.81
2002,09,t1,gauche,47.61
2002,09,t2,droite,100.0
2002,10,t1,centre,8.31
2002,10,t1,droite,61.7
2002,10,t1,gauche,29.98
2002,10,t2,droite,100.0
2002,11,t1,centre,6.4
2002,11,t1,droite,53.28
2002,11,t1,gauche,40.32
2002,11,t2,droite,100.0
2002,12,t1,centre,9.7
2002,12,t1,droite,52.1
2002,12,t1,gauche,38.2
2002,12,t2,droite,100.0
2002,13,t1,centre,7.59
2002,13,t1,droite,66.1
2002,13,t1,gauche,26.31
2002,13,t2,droite,100.0
2002,14,t1,centre,10.16
2002,14,t1,droite,52.39
2002,14,t1,gauche,37.44
2002,14,t2,droite,100.0
2002,15,t1,centre,9.07
2002,15,t1,droite,60.69
2002,15,t1,gauche,30.24
2002,15,t2,droite,100.0
2002,16,t1,centre,8.25
2002,16,t1,droite,51.2
2002,16,t1,gauche,40.55
2002,16,t2,droite,100.0
2002,17,t1,centre,7.79
2002,17,t1,droite,57.57
2002,17,t1,gauche,34.64
2002,17,t2,droite,100.0
2002,18,t1,centre,8.25
2002,18,t1,droite,56.73
2002,18,t1,gauche,35.02
2002,18,t2,droite,100.0
2002,19,t1,centre,3.91
2002,19,t1,droite,64.43
2002,19,t1,gauche,31.67
2002,19,t2,droite,100.0
2002,21,t1,centre,13.63
2002,21,t1,droite,56.02
2002,21,t1,gauche,30.35
2002,21,t2,droite,100.0
2002,22,t1,centre,8.2
2002,22,t1,droite,48.22
2002,22,t1,gauche,43.59
2002,22,t2,droite,100.0
2002,23,t1,centre,7.62
2002,23,t1,droite,51.99
2002,23,t1,gauche,40.38
2002,23,t2,droite,100.0
2002,24,t1,centre,5.96
2002,24,t1,droite,55.16
2002,24,t1,gauche,38.88
2002,24,t2,droite,100.0
2002,25,t1,centre,12.43
2002,25,t1,droite,57.47
2002,25,t1,gauche,30.1
2002,25,t2,droite,100.0
2002,26,t1,centre,11.03
2002,26,t1,droite,60.54
2002,26,t1,gauche,28.43
2002,26,t2,droite,100.0
2002,27,t1,centre,8.73
2002,27,t1,droite,58.77
2002,27,t1,gauche,32.5
2002,27,t2,droite,100.0
2002,28,t1,centre,9.67
2002,28,t1,droite,60.87
2002,28,t1,gauche,29.45
2002,28,t2,droite,100.0
2002,29,t1,centre,8.75
2002,29,t1,droite,51.74
2002,29,t1,gauche,39.51
2002,29,t2,droite,100.0
2002,2A,t1,centre,8.43
2002,2A,t1,droite,65.0
2002,2A,t1,gauche,26.57
2002,2A,t2,droite,100.0
2002,2B,t1,centre,8.44
2002,2B,t1,droite,61.47
2002,2B,t1,gauche,30.09
2002,2B,t2,droite,100.0
2002,30,t1,centre,7.86
2002,30,t1,droite,65.98
2002,30,t1,gauche,26.16
2002,30,t2,droite,100.0
2002,31,t1,centre,9.46
2002,31,t1,droite,47.04
2002,31,t1,gauche,43.5
2002,31,t2,droite,100.0
2002,32,t1,centre,9.09
2002,32,t1,droite,48.14
2002,32,t1,gauche,42.77
2002,32,t2,droite,100.0
2002,33,t1,centre,7.71
2002,33,t1,droite,57.06
2002,33,t1,gauche,35.23
2002,33,t2,droite,100.0
2002,34,t1,centre,7.12
2002,34,t1,droite,62.08
2002,34,t1,gauche,30.8
2002,34,t2,droite,100.0
2002,35,t1,centre,11.02
2002,35,t1,droite,48.81
2002,35,t1,gauche,40.16
2002,35,t2,droite,100.0
2002,36,t1,centre,7.22
2002,36,t1,droite,56.73
2002,36,t1,gauche,36.04
2002,36,t2,droite,100.0
2002,37,t1,centre,10.15
2002,37,t1,droite,53.92
2002,37,t1,gauche,35.93
2002,37,t2,droite,100.0
2002,38,t1,centre,10.95
2002,38,t1,droite,51.3
2002,38,t1,gauche,37.75
2002,38,t2,droite,100.0
2002,39,t1,centre,13.24
2002,39,t1,droite,53.38
2002,39,t1,gauche,33.37
2002,39,t2,droite,100.0
2002,40,t1,centre,8.14
2002,40,t1,droite,50.5
2002,40,t1,gauche,41.36
2002,40,t2,droite,100.0
2002,41,t1,centre,10.57
2002,41,t1,droite,58.54
2002,41,t1,gauche,30.89
2002,41,t2,droite,100.0
2002,42,t1,centre,11.81
2002,42,t1,droite,60.84
2002,42,t1,gauche,27.35
2002,42,t2,droite,100.0
2002,43,t1,centre,12.8
2002,43,t1,droite,58.25
2002,43,t1,gauche,28.95
2002,43,t2,droite,100.0
2002,44,t1,centre,9.6
2002,44,t1,droite,52.88
2002,44,t1,gauche,37.53
2002,44,t2,droite,100.0
2002,45,t1,centre,10.15
2002,45,t1,droite,62.91
2002,45,t1,gauche,26.94
2002,45,t2,droite,100.0
2002,46,t1,centre,9.05
2002,46,t1,droite,48.55
2002,46,t1,gauche,42.4
2002,46,t2,droite,100.0
2002,47,t1,centre,7.67
2002,47,t1,droite,61.33
2002,47,t1,gauche,31.0
2002,47,t2,droite,100.0
2002,48,t1,centre,12.9
2002,48,t1,droite,56.27
2002,48,t1,gauche,30.83
2002,48,t2,droite,100.0
2002,49,t1,centre,13.66
2002,49,t1,droite,54.16
2002,49,t1,gauche,32.18
2002,49,t2,droite,100.0
2002,50,t1,centre,9.37
2002,50,t1,droite,60.38
2002,50,t1,gauche,30.25
2002,50,t2,droite,100.0
2002,51,t1,centre,10.22
2002,51,t1,droite,58.54
2002,51,t1,gauche,31.24
2002,51,t2,droite,100.0
2002,52,t1,centre,7.98
2002,52,t1,droite,61.81
2002,52,t1,gauche,30.21
2002,52,t2,droite,100.0
2002,53,t1,centre,10.9
2002,53,t1,droite,54.89
2002,53,t1,gauche,34.21
2002,53,t2,droite,100.0
2002,54,t1,centre,9.94
2002,54,t1,droite,51.92
2002,54,t1,gauche,38.14
2002,54,t2,droite,100.0
2002,55,t1,centre,9.31
2002,55,t1,droite,55.65
2002,55,t1,gauche,35.05
2002,55,t2,droite,100.0
2002,56,t1,centre,8.36
2002,56,t1,droite,57.98
2002,56,t1,gauche,33.67
2002,56,t2,droite,100.0
2002,57,t1,centre,8.17
2002,57,t1,droite,62.92
2002,57,t1,gauche,28.91
2002,57,t2,droite,100.0
2002,58,t1,centre,8.07
2002,58,t1,droite,45.74
2002,58,t1,gauche,46.19
2002,58,t2,droite,100.0
2002,59,t1,centre,8.38
2002,59,t1,droite,54.15
2002,59,t1,gauche,37.46
2002,59,t2,droite,100.0
2002,60,t1,centre,9.37
2002,60,t1,droite,63.08
2002,60,t1,gauche,27.55
2002,60,t2,droite,100.0
2002,61,t1,centre,8.84
2002,61,t1,droite,60.85
2002,61,t1,gauche,30.31
2002,61,t2,droite,100.0
2002,62,t1,centre,8.14
2002,62,t1,droite,52.62
2002,62,t1,gauche,39.23
2002,62,t2,droite,100.0
2002,63,t1,centre,11.89
2002,63,t1,droite,48.23
2002,63,t1,gauche,39.88
2002,63,t2,droite,100.0
2002,64,t1,centre,15.67
2002,64,t1,droite,48.88
2002,64,t1,gauche,35.45
2002,64,t2,droite,100.0
2002,65,t1,centre,10.38
2002,65,t1,droite,42.48
2002,65,t1,gauche,47.14
2002,65,t2,droite,100.0
2002,66,t1,centre,7.58
2002,66,t1,droite,59.3
2002,66,t1,gauche,33.12
2002,66,t2,droite,100.0
2002,67,t1,centre,15.14
2002,67,t1,droite,64.69
2002,67,t1,gauche,20.17
2002,67,t2,droite,100.0
2002,68,t1,centre,13.21
2002,68,t1,droite,66.04
2002,68,t1,gauche,20.75
2002,68,t2,droite,100.0
2002,69,t1,centre,12.48
2002,69,t1,droite,58.86
2002,69,t1,gauche,28.65
2002,69,t2,droite,100.0
2002,70,t1,centre,14.28
2002,70,t1,droite,58.48
2002,70,t1,gauche,27.24
2002,70,t2,droite,100.0
2002,71,t1,centre,8.75
2002,71,t1,droite,56.63
2002,71,t1,gauche,34.62
2002,71,t2,droite,100.0
2002,72,t1,centre,8.76
2002,72,t1,droite,53.93
2002,72,t1,gauche,37.31
2002,72,t2,droite,100.0
2002,73,t1,centre,12.47
2002,73,t1,droite,59.4
2002,73,t1,gauche,28.12
2002,73,t2,droite,100.0
2002,74,t1,centre,11.94
2002,74,t1,droite,65.24
2002,74,t1,gauche,22.82
2002,74,t2,droite,100.0
2002,75,t1,centre,8.71
2002,75,t1,droite,53.96
2002,75,t1,gauche,37.33
2002,75,t2,droite,100.0
2002,76,t1,centre,9.73
2002,76,t1,droite,53.45
2002,76,t1,gauche,36.82
2002,76,t2,droite,100.0
2002,77,t1,centre,10.46
2002,77,t1,droite,56.58
2002,77,t1,gauche,32.95
2002,77,t2,droite,100.0
2002,78,t1,centre,13.05
2002,78,t1,droite,61.87
2002,78,t1,gauche,25.08
2002,78,t2,droite,100.0
2002,79,t1,centre,11.32
2002,79,t1,droite,47.31
2002,79,t1,gauche,41.37
2002,79,t2,droite,100.0
2002,80,t1,centre,10.12
2002,80,t1,droite,56.43
2002,80,t1,gauche,33.45
2002,80,t2,droite,100.0
2002,81,t1,centre,7.91
2002,81,t1,droite,53.06
2002,81,t1,gauche,39.03
2002,81,t2,droite,100.0
2002,82,t1,centre,8.53
2002,82,t1,droite,59.9
2002,82,t1,gauche,31.57
2002,82,t2,droite,100.0
2002,83,t1,centre,7.56
2002,83,t1,droite,74.59
2002,83,t1,gauche,17.86
2002,83,t2,droite,100.0
2002,84,t1,centre,6.69
2002,84,t1,droite,72.24
2002,84,t1,gauche,21.07
2002,84,t2,droite,100.0
2002,85,t1,centre,9.84
2002,85,t1,droite,60.52
2002,85,t1,gauche,29.64
2002,85,t2,droite,100.0
2002,86,t1,centre,8.27
