departement;score_centre_t1;score_droite_t1;score_gauche_t1;vainqueur_t1;annee_cible;score_centre_t2;score_droite_t2;vainqueur_t2
01;12.64;54.32;33.04;droite;2024;-0.06;100.06;droite
02;7.74;55.29;36.96;droite;2024;-0.3;100.3;droite
03;11.26;49.1;39.63;droite;2024;-0.01;100.01;droite
04;11.22;49.47;39.31;droite;2024;0.08;99.92;droite
05;13.18;48.25;38.57;droite;2024;0.2;99.8;droite
06;8.28;70.84;20.88;droite;2024;0.01;99.99;droite
07;11.38;49.14;39.48;droite;2024;0.0;100.0;droite
08;8.37;52.24;39.39;droite;2024;-0.06;100.06;droite
09;9.69;45.52;44.79;droite;2024;-0.03;100.03;droite
10;9.84;54.19;35.96;droite;2024;-0.03;100.03;droite
11;7.65;51.33;41.02;droite;2024;-0.22;100.22;droite
12;13.28;45.93;40.79;droite;2024;0.39;99.61;droite
13;7.94;61.14;30.92;droite;2024;0.09;99.91;droite
14;11.85;50.74;37.4;droite;2024;0.01;99.99;droite
15;12.81;48.63;38.56;droite;2024;0.26;99.74;droite
16;10.62;50.8;38.58;droite;2024;-0.05;100.05;droite
17;11.07;50.85;38.09;droite;2024;0.2;99.8;droite
18;10.84;52.19;36.97;droite;2024;-0.02;100.02;droite
19;10.36;47.5;42.14;droite;2024;0.06;99.94;droite
21;12.37;51.24;36.39;droite;2024;0.1;99.9;droite
22;11.97;47.58;40.45;droite;2024;0.02;99.98;droite
23;10.29;46.11;43.6;droite;2024;0.03;99.97;droite
24;10.51;48.24;41.25;droite;2024;0.08;99.92;droite
25;11.5;52.26;36.24;droite;2024;0.11;99.89;droite
26;11.03;52.41;36.56;droite;2024;-0.01;100.01;droite
27;10.57;53.62;35.81;droite;2024;-0.13;100.13;droite
28;11.04;52.67;36.29;droite;2024;0.02;99.98;droite
29;13.42;47.44;39.13;droite;2024;0.21;99.79;droite
2A;10.67;59.85;29.48;droite;2024;-0.24;100.24;droite
2B;8.36;62.03;29.62;droite;2024;-0.07;100.07;droite
30;8.4;55.62;35.98;droite;2024;-0.1;100.1;droite
31;10.67;48.36;40.96;droite;2024;0.05;99.95;droite
32;12.46;45.35;42.18;droite;2024;0.02;99.98;droite
33;10.21;50.68;39.11;droite;2024;0.04;99.96;droite
34;7.97;53.54;38.49;droite;2024;-0.18;100.18;droite
35;13.06;48.29;38.65;droite;2024;0.1;99.9;droite
36;10.58;51.54;37.88;droite;2024;-0.06;100.06;droite
